"","MR1","MR5","MR9","MR2","MR3","MR4","MR8","MR10","MR6","MR7"
"Q3.19_1",0.665167800829837,0.0637131049814657,-0.022936173876882,-0.0817767241178894,-0.0816254907714497,0.122181644741395,0.07254114608204,0.172183207390837,-0.0116575951505088,-0.0554289264010545
"Q3.20_1",0.485889449368233,0.0907661752620696,0.180694941653004,0.046751332770571,0.0218483808708624,0.0862825363626207,-0.0258166714236903,-0.215723994237952,0.0232106358245926,0.125498514133845
"Q3.21_1",0.678955714042124,0.0321114170941374,0.0603102184775536,0.103597278294101,0.0147536802849385,0.076925876449942,0.0774565054159384,-0.100154593356672,0.010148093800449,0.079960620337944
"Q3.22_1",0.651518717640025,-0.0285910389723081,0.0615365713924013,0.0554412617716741,0.00612709671558498,0.0721562074061614,0.0431630443246159,0.0421060816070473,0.0427962566224221,-0.0259079428419288
"Q3.23_1",0.595302606323325,0.00705507180546688,0.0677024077068451,0.0207968631909871,0.0616554261047891,0.0775887317150503,0.105218043043738,0.0701757398212139,0.0583355072073981,-0.0532828037862144
"Q3.24_1",0.130804151425646,0.364861181595908,0.115005044777938,0.116136503330952,0.116138811039504,0.02993246111449,0.113648744395917,0.0764721620632441,-0.00458251809669844,0.203242764197176
"Q3.25_1",0.243274763515599,0.321335021292243,0.265367224821944,-0.0159863772120579,-0.222587341714011,0.0310975141595288,-0.0213056556305055,0.0193993310559375,-0.199952213623693,0.0905149309183431
"Q3.26_1",0.195824951468748,0.357329647127877,0.218167049498179,0.162242143107978,-0.135131427184285,-0.0573736648153262,-0.0101726653397474,-0.0872700044625783,-0.1129969320976,0.107560131327421
"Q3.27_1",0.0371112749505199,0.516533082950797,0.0818078327801155,0.0107729758195809,-0.100035734323224,0.0214789486627312,0.0165456684690972,-0.0609367389638457,-0.212188042895433,-0.0112119341475326
"Q3.28_1",0.0512996405648872,0.577786189256266,0.102836013315324,0.0572023542987197,-0.0815312345577135,-0.0106204397639323,-0.00137483341804487,-0.114952838694724,-0.19645294424193,0.0519370398248416
"Q3.29_1",-0.0441548858361343,0.814753884293399,0.00190329933279847,-0.00444383298763827,-0.0084928743178343,-0.0478043108067862,0.0428300218156635,0.049295471191151,0.0268129492434385,0.0265137495430683
"Q3.30_1",0.0637090278646251,0.419558681261236,0.112930219488591,-0.00928136552969951,0.0578684778135817,-0.0307243053167797,-0.0049285732824926,0.127765609778151,0.0637949135143278,0.2459029757071
